Index,TaskIndex,StartTimeStamp,EndTimeStamp,ExecuteTime,PrevDistance
0,0,0.5099359,4.686771,4.176835,0
1,1,5.198183,13.72769,8.529509,6.324555
2,2,14.23833,18.90357,4.665244,2
3,3,19.41438,23.79195,4.377571,4
4,4,24.30127,41.97218,17.67092,4.472136
5,5,42.48336,71.99361,29.51025,6
6,6,72.50507,79.85735,7.352272,4.472136
7,7,80.36798,85.67648,5.308495,4.472136
8,8,86.17773,103.9143,17.7366,2.828427
9,9,104.4257,112.9772,8.551567,4.472136
10,10,113.4779,123.2083,9.730377,4.472136
11,11,123.7175,128.4714,4.753899,4.472136
12,12,128.9823,141.1994,12.21703,4.472136
13,13,141.6992,149.2183,7.51915,2.828427
14,14,149.7183,163.6678,13.94946,4.472136
15,15,164.1794,175.7414,11.56204,4
16,16,176.2421,203.5307,27.28859,6
17,17,204.0307,209.2722,5.24147,2.828427
18,18,209.7834,0,0,4.472136

