Index,TaskIndex,StartTimeStamp,EndTimeStamp,ExecuteTime,PrevDistance
0,0,0.5072411,4.054167,3.546926,0
1,1,4.554099,8.252683,3.698584,2.828427
2,2,8.763867,12.62847,3.8646,4.472136
3,3,13.14032,18.02702,4.886703,6
4,4,18.53721,24.22363,5.68642,4
5,5,24.73526,63.7862,39.05094,2.828427
6,6,64.28672,70.17216,5.885445,4.472136
7,7,70.6829,75.37013,4.687233,4.472136
8,8,75.88109,81.95653,6.075439,2
9,9,82.46793,84.98856,2.52063,2.828427
10,10,85.5,96.85066,11.35066,6.324555
11,11,97.35033,0,0,4.472136

