Index,TaskIndex,StartTimeStamp,EndTimeStamp,ExecuteTime,PrevDistance
0,0,0.5083258,4.287945,3.779619,0
1,1,4.789143,11.76316,6.974019,6
2,2,12.27351,15.92772,3.654204,2.828427
3,3,16.4382,24.2577,7.8195,6
4,4,24.76892,33.68817,8.919252,4
5,5,34.20029,41.19497,6.994671,2.828427
6,6,41.70708,44.59343,2.886349,4
7,7,45.10518,48.27038,3.165207,2.828427
8,8,48.77104,53.95704,5.185997,4
9,9,54.468,55.70054,1.23254,2
10,10,56.2118,63.00885,6.797054,4
11,11,63.50861,76.57098,13.06238,8.246211
12,12,77.0819,81.30216,4.220261,4.472136
13,13,81.81417,92.96316,11.14899,2
14,14,93.46441,100.0175,6.553123,6.324555
15,15,100.5278,109.9459,9.418098,4.472136
16,16,110.4564,113.2448,2.788376,2.828427
17,17,113.7559,120.3306,6.574638,6
18,18,120.842,125.5958,4.753838,2.828427
19,19,126.1065,135.1131,9.006638,4.472136
20,20,135.6148,138.8125,3.197723,4
21,21,139.3134,151.1405,11.82709,7.211102
22,22,151.6414,157.372,5.73056,6
23,23,157.8826,161.6364,3.753754,2.828427
24,24,162.138,170.0893,7.951233,6.324555
25,25,170.5997,180.1843,9.584595,6.324555
26,26,180.686,185.1719,4.485855,2.828427
27,27,185.6725,193.8138,8.141296,4
28,28,194.3241,204.2867,9.962585,4.472136
29,29,204.7978,209.2508,4.453003,4
30,30,209.7627,213.9154,4.15274,2.828427
31,31,214.4172,223.0685,8.651276,4.472136
32,32,223.5799,232.0113,8.431442,4.472136
33,33,232.5207,236.1514,3.630676,4
34,34,236.67,243.194,6.523926,4.472136
35,35,243.7048,252.6006,8.895859,6
36,36,253.112,261.6203,8.508331,8
37,37,262.1307,270.8943,8.76355,7.211102
38,38,271.3941,279.3243,7.930176,2.828427
39,39,279.8245,283.8219,3.997406,4.472136
40,40,284.3345,289.7317,5.397156,4.472136
41,41,290.2423,295.1846,4.942261,4.472136
42,42,295.6951,300.3822,4.687073,4.472136
43,43,300.8928,305.2242,4.33136,4
44,44,305.7358,312.9104,7.174591,4.472136
45,45,313.411,316.0541,2.643036,2.828427
46,46,316.5647,320.0964,3.531738,4
47,47,320.6077,325.9501,5.342438,2.828427
48,48,326.4605,338.2004,11.7399,6
49,49,338.7018,349.0742,10.37241,8
50,50,349.5742,355.6715,6.097351,6
51,51,356.1718,359.3698,3.198059,2.828427
52,52,359.8705,365.2899,5.419464,4.472136
53,53,365.7903,370.5656,4.77533,6
54,54,371.0788,385.7036,14.62479,4.472136
55,55,386.2152,388.6474,2.43219,2.828427
56,56,389.1591,392.2677,3.108643,2.828427
57,57,392.7789,395.8661,3.087189,2.828427
58,58,396.3667,400.4422,4.07547,2.828427
59,59,400.9452,407.8388,6.893585,5.656854
60,60,408.3397,415.9475,7.607758,4
61,61,416.4584,421.5344,5.075989,4.472136
62,62,422.0352,426.9988,4.963623,4
63,63,427.5114,430.6309,3.119476,2.828427
64,64,431.1419,440.739,9.597168,4.472136
65,65,441.2487,462.0512,20.80252,2
66,66,462.5531,465.3064,2.753296,2.828427
67,67,465.8176,470.0928,4.275208,2.828427
68,68,470.6035,478.3012,7.697723,4
69,69,478.8009,487.5859,8.785004,4.472136
70,70,488.0972,493.1733,5.076141,2
71,71,493.684,496.5043,2.820313,2.828427
72,72,497.0048,501.7918,4.787018,4.472136
73,73,502.3023,506.0125,3.710266,2.828427
74,74,506.5231,511.9645,5.441406,4
75,75,512.4761,522.6834,10.20728,5.656854
76,76,523.1836,529.0358,5.852173,6
77,77,529.5364,532.6907,3.154236,2.828427
78,78,533.2012,536.7444,3.543152,2.828427
79,79,537.2441,541.5644,4.320313,2.828427
80,80,542.0756,549.4283,7.352783,4
81,81,549.9286,551.5156,1.586975,2.828427
82,82,552.0272,557.4695,5.442383,6
83,83,557.9805,565.0773,7.096863,6
84,84,565.5777,574.9628,9.385071,2.828427
85,85,575.4734,580.1618,4.688416,4.472136
86,86,580.6712,592.0215,11.35034,6.324555
87,87,592.5327,596.5333,4.00061,4
88,88,597.0419,600.4969,3.455017,2.828427
89,89,600.9977,605.7062,4.708435,2.828427
90,90,606.2173,611.5369,5.319641,4.472136
91,91,612.0486,617.301,5.25238,4
92,92,617.8026,626.9079,9.105286,4.472136
93,93,627.4094,633.1834,5.774048,4
94,94,633.6963,636.4263,2.72998,2.828427
95,95,636.9275,644.5135,7.58606,2.828427
96,96,645.0242,652.4208,7.396545,6
97,97,652.9234,687.2635,34.34009,4
98,98,687.7751,690.6943,2.919189,2.828427
99,99,691.2059,695.4822,4.276245,4

