Index,TaskIndex,StartTimeStamp,EndTimeStamp,ResponseTime,Error
0,0,21.70455,30.43365,8.729099,140.239
1,1,58.9889,72.49444,13.50554,170.973
2,2,86.0112,107.1369,21.12575,114.901
3,3,131.4485,144.4107,12.9622,140.251
4,4,166.2912,175.9528,9.66156,155.911
5,5,190.0029,197.5001,7.497208,171.770
6,6,220.8034,228.3887,7.585358,116.274
7,7,233.5976,247.2034,13.60579,151.588
8,8,267.1621,275.9694,8.807281,155.516
9,9,298.7601,308.6908,9.930725,144.055
10,10,321.6972,332.3383,10.64108,156.244
11,11,375.4745,382.6837,7.209137,138.447
12,12,404.053,412.6827,8.6297,152.346
13,13,432.8074,446.8242,14.01678,78.033
14,14,472.4146,484.9318,12.51724,131.020
15,15,509.4779,518.4186,8.940704,124.606
16,16,560.3906,570.3644,9.973816,151.576
17,17,614.1025,623.9768,9.874268,111.034
18,18,641.7032,649.611,7.907776,155.615

