Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0209433,11.40642,26.58791,29.3108,159.288
1,1,29.3108,51.42456,63.33153,65.55149,124.071
2,2,65.55149,70.39315,79.23474,80.38873,123.748
3,3,80.38973,110.6993,116.975,118.7658,149.602
4,4,118.7658,127.6159,134.0133,135.4126,174.169
5,5,135.4126,165.123,173.1638,174.8643,134.219
6,6,174.8643,180.5727,188.5695,189.6467,164.368
7,7,189.6477,210.6935,217.5245,219.048,71.798
8,8,219.048,245.1151,254.1445,256.365,106.081
9,9,256.365,299.7029,304.3347,306.3587,126.824
10,10,306.3587,324.8936,329.3691,330.1577,152.416
11,11,330.1577,345.8628,372.7487,374.0735,153.693
12,12,374.0735,381.6266,397.3541,397.8875,24.229
13,13,397.8875,419.0136,444.2683,445.303,89.604
14,14,445.303,510.5985,518.7275,519.306,76.652
15,15,519.306,540.9869,565.6765,566.4763,139.371
16,16,566.4763,584.1577,592.334,593.1997,115.718
17,17,593.1997,603.0067,626.2308,627.1196,155.555
18,18,627.1196,641.1253,647.5991,648.5106,111.547
19,19,648.5106,667.6031,672.9679,673.6341,143.204

