Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0269258,41.60714,78.96161,80.39229,58.646,58.447,(28.000, 1.237, 22.000),(28.743, 1.241, 29.851),(0.795, 0.105, -0.598)
1,1,80.39229,131.8501,199.9311,201.6348,92.364,92.356,(32.000, 1.237, 38.000),(36.084, 1.223, 37.019),(-0.192, -0.104, -0.976)
2,2,201.6348,230.9753,271.338,272.4971,32.863,28.587,(36.000, 1.237, 28.000),(37.133, 1.215, 24.060),(-0.671, 0.297, 0.679)
3,3,272.4971,296.3293,344.0212,345.5019,17.142,-13.429,(36.000, 1.237, 16.000),(35.113, 1.216, 12.091),(0.434, 0.192, 0.880)
4,4,345.5019,387.3849,450.601,451.6453,19.812,-16.671,(28.000, 1.237, 20.000),(26.062, 1.212, 14.662),(0.585, 0.193, 0.787)
5,5,451.6453,498.2969,524.838,525.9707,23.533,23.413,(22.000, 1.237, 8.000),(29.489, 1.194, 5.838),(-0.991, -0.037, -0.127)
6,6,525.9707,562.0558,579.9645,581.1638,19.553,18.458,(36.000, 1.237, 10.000),(37.838, 1.194, 4.437),(-0.595, -0.107, 0.797)
7,7,581.1638,631.2542,649.7326,651.3485,33.334,30.140,(34.000, 1.237, 0.000),(30.116, 1.213, 0.830),(0.917, 0.265, 0.299)
8,8,651.3485,682.3109,715.6515,716.7736,58.022,13.448,(20.000, 1.237, 6.000),(15.716, 1.207, 1.508),(0.272, 0.841, 0.467)
9,9,716.7736,740.9515,781.1404,781.8738,75.052,61.279,(10.000, 1.237, 4.000),(11.784, 1.255, 8.564),(0.349, 0.840, -0.416)
10,10,781.8748,812.739,834.4608,835.7929,17.604,10.740,(6.000, 1.237, 4.000),(7.375, 1.246, -0.049),(-0.477, -0.244, 0.844)
11,11,835.7939,863.5931,885.0992,887.2214,42.324,41.224,(0.000, 1.237, 4.000),(1.729, 1.261, 10.975),(0.451, 0.179, -0.874)
12,12,887.2225,923.1174,951.5845,953.2069,26.939,25.918,(4.000, 1.237, 8.000),(0.716, 1.257, 13.873),(0.814, 0.129, -0.567)
13,13,953.2069,999.166,1010.316,1011.458,17.625,17.236,(0.000, 1.237, 24.000),(3.686, 1.246, 25.609),(-0.755, -0.067, -0.652)
14,14,1011.458,1047.153,1065.994,1066.947,32.336,-29.706,(2.000, 1.237, 36.000),(9.941, 1.227, 34.696),(-0.755, 0.233, 0.612)
15,15,1066.947,1109.899,1137.688,1139.688,15.638,6.715,(14.000, 1.237, 34.000),(6.814, 1.243, 32.084),(0.901, 0.244, 0.358)
16,16,1139.688,1203.581,1230.952,1231.886,46.396,39.392,(8.000, 1.237, 26.000),(13.696, 1.225, 28.347),(-0.421, 0.454, -0.785)
17,17,1231.886,1282.543,1330.141,1330.779,62.386,-46.162,(18.000, 1.237, 38.000),(22.730, 1.230, 35.754),(-0.211, 0.744, 0.633)
18,18,1330.779,1382.17,1418.062,1419.212,40.312,39.504,(28.000, 1.237, 32.000),(19.945, 1.241, 30.555),(0.640, 0.152, 0.754)
19,19,1419.212,1458.317,1494.91,1496.191,66.435,54.762,(20.000, 1.237, 26.000),(17.494, 1.243, 24.049),(-0.032, 0.719, 0.694)

