Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0339095,61.88263,78.43358,84.63379,22.339,14.941,(16.000, 1.075, 32.000),(14.267, 1.068, 28.596),(0.200, 0.291, 0.936)
1,1,84.63478,134.3354,156.0817,163.7801,57.574,48.580,(6.000, 1.075, 28.000),(10.071, 1.046, 31.728),(0.015, 0.592, -0.806)
2,2,163.7801,183.1893,206.3063,209.5019,29.387,16.443,(4.000, 1.075, 32.000),(1.382, 1.065, 27.603),(0.225, 0.420, 0.879)
3,3,209.5029,226.7545,248.4675,252.6181,26.102,13.221,(0.000, 1.075, 34.000),(4.622, 1.062, 36.362),(-0.703, 0.388, -0.596)
4,4,252.6181,286.6827,295.6115,297.2672,5.893,3.150,(16.000, 1.075, 34.000),(18.079, 1.054, 30.648),(-0.571, 0.092, 0.816)
5,5,297.2672,377.0733,389.0243,392.9346,31.008,30.228,(30.000, 1.075, 38.000),(35.911, 1.040, 37.203),(-0.917, -0.120, -0.381)
6,6,392.9346,446.2565,456.5929,457.7151,2.465,-1.359,(34.000, 1.075, 28.000),(32.350, 1.038, 24.641),(0.462, -0.026, 0.887)
7,7,457.7161,507.7177,515.075,516.1958,12.490,-11.575,(34.000, 1.075, 18.000),(30.516, 1.044, 20.015),(0.745, -0.075, -0.662)
8,8,516.1958,552.934,569.9152,571.1861,5.342,4.060,(26.000, 1.075, 22.000),(22.040, 1.032, 20.457),(0.901, 0.071, 0.427)
9,9,571.1871,590.8728,601.4067,607.761,8.036,-2.518,(28.000, 1.075, 14.000),(31.498, 1.040, 15.461),(-0.932, -0.124, -0.342)
10,10,607.762,640.8029,648.7313,650.0978,6.888,-0.179,(38.000, 1.075, 6.000),(35.356, 1.083, 4.487),(0.864, 0.117, 0.491)
11,11,650.0978,697.7198,728.1458,730.3419,59.186,20.197,(26.000, 1.075, 6.000),(28.006, 1.091, 1.882),(-0.396, 0.836, 0.380)
12,12,730.3419,799.4948,829.436,831.128,37.565,-37.296,(20.000, 1.075, 2.000),(17.929, 1.035, 3.284),(0.355, 0.106, -0.929)
13,13,831.1289,909.7035,933.5974,935.0081,16.262,12.126,(18.000, 1.075, 8.000),(10.179, 1.044, 4.617),(0.799, 0.193, 0.570)
14,14,935.0091,1020.108,1033.247,1034.658,3.894,-1.729,(12.000, 1.075, 2.000),(8.215, 1.066, 0.193),(0.913, 0.063, 0.403)
15,15,1034.659,1055.795,1071.71,1073.332,17.310,-11.756,(4.000, 1.075, 2.000),(6.855, 1.031, 5.472),(-0.762, -0.212, -0.612)
16,16,1073.332,1089.825,1112.015,1112.994,22.078,-10.099,(6.000, 1.075, 8.000),(9.311, 1.052, 10.236),(-0.859, 0.343, -0.381)
17,17,1112.994,1172.226,1195.397,1200.482,13.496,-11.377,(14.000, 1.075, 12.000),(12.914, 1.049, 15.787),(0.080, 0.134, -0.988)

