Index,TaskIndex,StartTimeStamp,QustionedTimeStamp,EndTimeStamp,Discomfort
0,0,60.00978,60.01975,128.8159,0
1,1,120.0294,120.0404,128.8159,0
2,2,180.0504,180.0614,185.9152,0
3,3,240.0717,240.0816,245.2915,0
4,4,300.0916,300.1025,306.1451,0
5,5,360.1124,363.3442,370.2005,0
6,6,420.1336,420.6104,427.1769,0
7,7,480.1543,480.1641,490.9944,0
8,8,540.1743,540.1853,546.6168,0
9,9,667.5686,667.5786,673.8893,0
10,10,727.5895,727.5995,733.4878,0
11,11,787.6099,787.6209,792.7418,0
12,12,847.6306,847.6416,851.9962,0
13,13,907.6508,907.6618,911.8058,0
14,14,967.672,967.683,970.7047,0
15,15,1027.693,1027.703,1031.992,0
16,16,1087.714,1089.152,1096.344,0

