Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0189792,23.82298,33.97411,39.23941,140.747
1,1,39.24044,96.02752,112.6986,116.8875,133.197
2,2,116.8875,141.4431,151.9493,155.8818,134.187
3,3,155.8818,188.224,204.7293,208.3053,120.412
4,4,208.3053,238.3046,247.8776,253.6429,140.539
5,5,253.6429,262.584,271.0808,278.7664,116.939
6,6,278.7664,346.6389,357.8903,363.3442,114.956
7,7,363.3452,375.6387,388.1561,390.7113,97.760
8,8,390.7113,404.8496,416.7668,420.6104,103.621
9,9,420.6104,458.9949,467.8462,472.4245,118.691
10,10,472.4245,490.4708,499.1133,504.0107,113.294
11,11,504.0107,768.5616,775.8469,779.4465,113.968
12,12,779.4465,805.2796,813.2658,817.3309,108.382
13,13,817.3309,842.8211,852.295,858.326,87.423
14,14,858.326,876.0405,891.6236,897.2876,112.833
15,15,897.2876,920.408,930.5088,934.2294,98.723
16,16,934.2294,982.8045,992.8937,997.2159,114.761
17,17,997.2159,1044.996,1055.436,1058.013,125.229
18,18,1058.013,1072.919,1086.558,1089.152,120.182
19,19,1089.152,1115.212,1123.743,1127.397,115.531

