Index,TaskIndex,StartTimeStamp,QustionedTimeStamp,EndTimeStamp,Discomfort
0,0,60.0069,60.01687,72.81274,0
1,1,120.028,121.5597,129.6569,0
2,2,180.0479,180.0579,187.4897,0
3,3,240.0713,240.0773,257.0284,0
4,4,300.0895,300.1005,307.4102,0
5,5,360.11,360.1199,369.7292,0
6,6,420.1314,420.1414,429.2725,0
7,7,480.1515,480.1624,485.1387,0
8,8,540.1714,540.1824,569.6722,0
9,9,600.1931,600.2031,605.5574,0
10,10,660.2134,660.2233,664.7457,0
11,11,720.2338,720.2438,730.2969,0
12,12,780.2552,780.2651,792.7278,0
13,13,840.2754,840.2853,845.8843,0
14,14,900.2967,900.3067,905.0165,0
15,15,960.3166,960.3266,968.1264,0

