Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0428857,18.75634,28.29588,34.77188,147.691
1,1,34.77288,103.8658,117.26,121.5597,160.506
2,2,121.5607,156.3782,165.587,168.7293,76.499
3,3,168.7293,195.3963,212.3123,215.3784,156.636
4,4,215.3784,236.7356,262.8031,266.7903,119.881
5,5,266.7903,294.4472,307.0862,312.1839,101.285
6,6,312.1839,324.0678,332.1867,335.6974,126.891
7,7,335.6974,373.3589,384.0447,386.0547,71.031
8,8,386.0547,419.6317,433.8582,436.1131,129.064
9,9,436.1131,451.0686,465.4897,468.0442,95.668
10,10,468.0452,502.7533,515.0034,517.447,130.249
11,11,517.447,539.3387,576.1559,579.1893,145.001
12,12,579.1893,588.0859,613.0869,617.5858,103.173
13,13,617.5858,638.3771,650.8502,653.3821,143.214
14,14,653.3821,667.0656,713.1028,715.5907,140.512
15,15,715.5907,756.4745,807.4435,808.8988,38.693
16,16,808.8988,827.957,852.4029,854.7819,83.120
17,17,854.7819,870.8847,878.2703,880.2589,152.804
18,18,880.2589,907.2698,915.1892,917.4003,153.582
19,19,917.4013,971.3112,977.3419,979.0642,141.445

