Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0229389,13.88347,34.94087,37.47556,135.544
1,1,37.47655,65.33947,82.01132,84.48811,119.285
2,2,84.48811,92.73983,103.469,106.4806,107.188
3,3,106.4806,154.2375,163.168,165.5461,112.087
4,4,165.5461,179.1402,191.8228,193.7452,124.130
5,5,193.7452,222.745,233.427,235.7519,109.571
6,6,235.7519,250.1546,258.9093,261.373,118.218
7,7,261.373,289.0943,310.4957,312.1294,62.578
8,8,312.1294,344.2651,355.2372,357.2817,98.333
9,9,357.2817,391.9342,404.0727,406.2918,141.922
10,10,406.2918,437.0558,443.7916,445.8681,122.012
11,11,445.8681,475.5905,483.9369,486.2484,127.400
12,12,486.2484,502.5574,521.3832,526.1046,82.194
13,13,526.1046,557.1033,568.6425,571.0184,108.402
14,14,571.0184,614.2083,624.2274,625.2491,87.563
15,15,625.2491,652.7484,679.899,682.3203,126.248
16,16,682.3203,720.41,733.2995,734.9221,119.076
17,17,734.9221,742.8962,761.0115,762.5535,130.858
18,18,762.5535,786.7682,796.2029,798.441,127.871
19,19,798.441,825.7188,832.316,834.9603,105.472

