Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.1166887,26.76771,53.65724,58.93322,97.904
1,1,58.93422,98.88287,117.1988,120.5745,117.122
2,2,120.5745,129.3575,144.3423,147.9035,116.061
3,3,147.9035,199.8101,210.3832,213.5805,114.114
4,4,213.5805,226.1783,237.3407,240.4168,105.740
5,5,240.4168,272.3936,283.652,287.8653,100.580
6,6,287.8653,295.5062,305.668,310.8886,118.351
7,7,310.8886,343.7872,360.7562,366.5438,121.704
8,8,366.5438,400.8088,412.9691,416.4918,113.432
9,9,416.4918,451.9791,459.0961,462.0073,108.807
10,10,462.0073,492.3072,498.3058,501.2026,119.123
11,11,501.2026,528.0545,537.2985,539.8545,123.099
12,12,539.8545,555.5764,575.4014,578.6156,106.383
13,13,578.6166,616.4203,621.9603,625.8718,120.814
14,14,625.8718,676.7218,697.2037,699.1372,110.770
15,15,699.1382,731.657,762.35,765.3828,116.056
16,16,765.3828,807.6996,814.7643,817.9236,110.304
17,17,817.9236,837.8757,876.1444,879.2601,120.598
18,18,879.261,903.0334,916.0718,918.9445,126.245
19,19,918.9445,955.144,963.2984,967.0314,106.923

