Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0418882,35.18607,42.76045,47.15885,128.058
1,1,47.15985,84.94345,93.09651,96.06178,116.794
2,2,96.06277,124.0505,144.5201,146.4642,81.759
3,3,146.4642,154.4825,168.8215,172.1433,120.782
4,4,172.1433,199.5317,211.316,214.2825,120.231
5,5,214.2825,258.6302,264.5969,267.2274,108.975
6,6,267.2274,318.9295,322.1611,324.3833,129.515
7,7,324.3833,355.7483,361.9116,365.6666,132.193
8,8,365.6676,392.3788,403.9867,406.9182,106.680
9,9,406.9182,420.7887,429.7645,432.32,114.437
10,10,432.32,452.8433,458.3633,460.7622,122.150
11,11,460.7622,494.5439,502.8346,504.7944,112.055
12,12,504.7944,529.5026,543.186,546.0846,122.676
13,13,546.0846,571.441,579.2594,582.0934,116.627
14,14,582.0934,592.0006,597.0633,599.981,124.550
15,15,599.981,616.2516,627.2966,629.7294,111.678
16,16,629.7305,637.5037,651.8752,654.1417,124.643
17,17,654.1417,695.6584,701.6887,704.2277,110.977
18,18,704.2286,719.0053,727.8353,729.5496,129.721
19,19,729.5496,745.8783,756.3675,758.4506,125.686

