Participant,Condition,Session,SmallAffordance,EasyToSearch,Comfortable,GoodExp,OriginDetection,Detection,承上，若有感覺到不同，請簡述感覺不同的地方,針對剛才的VR體驗的其他任何想法
1,Baseline,1,3,4,5,5,FALSE,FALSE,,操作簡單，但因為暈眩無法用很久
1,StaticSmall,2,4,4,3,5,FALSE,FALSE,,操作比上一次順
1,StaticLarge,3,5,5,4,5,FALSE,FALSE,,發現視線對著物品轉正比較不會頭暈
2,StaticSmall,1,3,5,3,3,TRUE,FALSE,這次的不適感較以往來得快,
2,StaticLarge,2,3,5,3,3,TRUE,TRUE,畫面比以往顆粒還大，昨天沒注意到,好暈XD
2,Baseline,3,3,5,3,4,TRUE,FALSE,較容易感到噁心,
3,StaticLarge,1,5,6,3,5,FALSE,TRUE,,是否有根據眼睛看的位置調整解析度
3,Baseline,2,6,6,3,5,FALSE,FALSE,,畫面有點抖動，一開始不暈但後來又發生相同症狀
3,StaticSmall,3,2,5,4,5,TRUE,TRUE,視野邊緣模糊,
4,Baseline,1,2,3,2,2,FALSE,FALSE,,不能以自己的身體移動，對空間感和空間記憶的建立造成限制甚至牴觸
4,StaticLarge,2,6,5,3,3,FALSE,FALSE,,視線轉動與手把操作同時時容易產生暈眩
4,StaticSmall,3,2,5,2,2,TRUE,TRUE,很模糊,視野模糊 因此似乎更難對周圍留下印象和空間感
5,StaticSmall,1,1,2,2,2,FALSE,FALSE,,距離不好控制
5,Baseline,2,2,3,2,2,TRUE,FALSE,操作比較順暢,
5,StaticLarge,3,4,3,3,3,FALSE,FALSE,,
6,StaticLarge,1,2,5,4,5,FALSE,FALSE,,
6,StaticSmall,2,2,4,3,5,FALSE,FALSE,,
6,Baseline,3,3,3,3,4,TRUE,TRUE,畫面看得較清楚，可以看到地上格線,
7,Baseline,1,2,5,2,3,FALSE,FALSE,,移動速度加快不知道會不會比較記得走過的路線或是比較不暈
7,StaticSmall,2,3,5,3,5,FALSE,FALSE,,
7,StaticLarge,3,3,6,5,6,FALSE,FALSE,,
8,StaticSmall,1,3,5,3,4,FALSE,FALSE,,
8,StaticLarge,2,5,5,3,3,FALSE,FALSE,,
8,Baseline,3,6,6,3,6,FALSE,FALSE,,
9,StaticLarge,1,2,2,3,2,TRUE,FALSE,轉視角較暈，前後移動還好,
9,Baseline,2,2,3,3,3,TRUE,FALSE,左右轉頭幅度慢且小,距離感較不同於現實
9,StaticSmall,3,3,4,3,3,TRUE,TRUE,較模糊(動態較真實),
11,StaticSmall,1,6,5,6,6,TRUE,TRUE,解析度不太高,
11,Baseline,2,6,5,6,6,FALSE,FALSE,感覺比上次好,
11,StaticLarge,3,7,6,6,6,FALSE,FALSE,,
