Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0269274,16.19423,46.22652,50.155,60.894,52.937,(16.0, 1.3, 18.0),(19.3, 1.3, 16.4),(-0.1, 0.6, 0.8)
1,1,50.156,85.188,99.36076,102.6152,32.094,25.349,(18.0, 1.3, 10.0),(15.9, 1.2, 15.5),(-0.1, 0.4, -0.9)
2,2,102.6152,108.9457,169.118,172.5664,50.690,27.074,(12.0, 1.3, 16.0),(13.5, 1.2, 12.2),(0.1, 0.7, 0.7)
3,3,172.5664,200.1868,207.4738,210.6248,38.348,18.058,(10.0, 1.3, 10.0),(6.5, 1.2, 8.2),(0.6, 0.6, 0.6)
4,4,210.6248,222.4564,234.8743,238.7172,38.959,4.128,(8.0, 1.3, 6.0),(3.9, 1.2, 3.0),(0.7, 0.6, 0.4)
5,5,238.7182,255.7988,274.4767,277.5341,53.781,15.271,(8.0, 1.3, 0.0),(11.8, 1.2, 1.6),(-0.6, 0.8, -0.1)
6,6,277.5351,288.865,301.01,304.403,53.177,29.436,(16.0, 1.3, 2.0),(17.8, 1.2, 7.5),(-0.5, 0.7, -0.5)
7,7,304.403,340.4432,365.9731,369.2189,94.632,95.677,(18.0, 1.3, 4.0),(19.9, 1.2, 1.5),(-0.6, 0.5, -0.6)
8,8,369.2189,412.4995,422.5983,426.3208,51.303,10.091,(28.0, 1.3, 2.0),(26.5, 1.2, 5.7),(0.1, 0.8, -0.6)
9,9,426.3208,456.6195,470.9918,474.1126,39.520,14.804,(34.0, 1.3, 4.0),(37.3, 1.2, 5.9),(-0.8, 0.6, -0.2)
10,10,474.1126,501.5906,509.9639,513.0926,41.946,0.705,(32.0, 1.3, 16.0),(28.9, 1.2, 14.0),(0.6, 0.7, 0.4)
11,11,513.0926,535.0004,546.9504,550.106,23.604,5.197,(22.0, 1.3, 20.0),(25.5, 1.2, 21.8),(-0.8, 0.4, -0.5)
12,12,550.106,572.0796,596.2197,599.7967,49.788,5.248,(30.0, 1.3, 20.0),(34.0, 1.2, 18.6),(-0.6, 0.8, 0.2)
13,13,599.7967,645.3999,653.6076,657.017,33.930,21.782,(32.0, 1.3, 24.0),(33.4, 1.2, 25.7),(-0.3, 0.5, -0.8)
14,14,657.017,705.2207,709.7971,713.0701,36.593,6.769,(30.0, 1.3, 36.0),(30.2, 1.2, 37.6),(0.0, 0.6, -0.8)
15,15,713.0701,807.0792,851.6291,854.6136,40.689,3.321,(20.0, 1.3, 30.0),(16.4, 1.2, 33.7),(0.5, 0.7, -0.6)
16,16,854.6136,886.2939,896.5222,899.3439,37.092,13.072,(4.0, 1.3, 36.0),(0.2, 1.2, 34.5),(0.7, 0.6, 0.5)
17,17,899.3439,907.2855,927.3444,930.2951,44.367,20.827,(4.0, 1.3, 32.0),(1.8, 1.2, 26.4),(0.5, 0.6, 0.6)
18,18,930.2961,959.8984,974.8994,978.0746,26.021,1.975,(10.0, 1.3, 32.0),(6.5, 1.2, 28.2),(0.6, 0.4, 0.6)
19,19,978.0746,1010.789,1019.182,1022.738,62.561,53.756,(14.0, 1.3, 28.0),(15.1, 1.2, 31.7),(-0.7, 0.6, -0.3)

