Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0249336,16.57993,41.54882,44.61568,30.069,5.858,(16.0, 1.3, 18.0),(19.3, 1.3, 16.3),(-0.7, 0.5, 0.5)
1,1,44.61568,72.36966,89.5631,92.40738,67.600,56.808,(18.0, 1.3, 10.0),(16.0, 1.3, 15.2),(-0.4, 0.7, -0.6)
2,2,92.40738,101.4479,150.5825,155.2603,13.567,6.054,(12.0, 1.3, 16.0),(12.6, 1.3, 12.7),(-0.3, -0.2, 0.9)
3,3,155.2603,188.0234,194.9096,197.123,53.095,3.272,(10.0, 1.3, 10.0),(6.5, 1.3, 8.2),(0.5, 0.8, 0.3)
4,4,197.123,211.2818,223.7873,225.6099,63.235,27.502,(8.0, 1.3, 6.0),(4.3, 1.3, 2.5),(0.5, 0.9, 0.1)
5,5,225.6099,260.6735,278.1343,281.3331,63.723,46.914,(8.0, 1.3, 0.0),(11.6, 1.3, 1.5),(-0.2, 0.8, -0.6)
6,6,281.3331,291.2236,302.9012,304.9584,34.767,11.993,(16.0, 1.3, 2.0),(17.7, 1.3, 7.5),(-0.1, 0.5, -0.8)
7,7,304.9584,341.8973,359.1902,361.7195,74.017,67.638,(18.0, 1.3, 4.0),(20.2, 1.3, 1.3),(-0.7, 0.7, -0.2)
8,8,361.7195,391.3221,401.7617,403.05,56.893,16.193,(28.0, 1.3, 2.0),(26.7, 1.2, 5.7),(0.0, 0.8, -0.6)
9,9,403.05,470.3854,476.2103,478.2648,39.041,26.315,(34.0, 1.3, 4.0),(37.5, 1.3, 5.9),(-0.9, -0.5, 0.0)
10,10,478.2659,508.6713,518.0554,519.7181,39.081,37.280,(32.0, 1.3, 16.0),(28.5, 1.3, 14.0),(1.0, -0.2, -0.1)
11,11,519.7181,544.238,559.4434,562.488,71.471,0.153,(22.0, 1.3, 20.0),(25.3, 1.2, 22.0),(-0.3, 0.9, -0.2)
12,12,562.488,579.2432,603.3608,610.1199,44.164,26.668,(30.0, 1.3, 20.0),(33.9, 1.3, 19.0),(-0.8, 0.6, -0.2)
13,13,610.1209,643.1066,658.7669,662.4465,63.219,44.942,(32.0, 1.3, 24.0),(33.1, 1.3, 25.7),(0.1, 0.8, -0.6)
14,14,662.4465,701.0939,713.335,715.5128,51.460,11.585,(30.0, 1.3, 36.0),(30.4, 1.2, 37.7),(-0.3, 0.8, -0.6)
15,15,715.5128,754.6682,788.3051,789.6096,61.493,42.212,(20.0, 1.3, 30.0),(16.6, 1.3, 33.9),(0.0, 0.8, -0.6)
16,16,789.6096,833.9863,847.4515,850.2048,45.953,8.664,(4.0, 1.3, 36.0),(0.1, 1.2, 34.4),(0.7, 0.7, 0.2)
17,17,850.2048,864.2677,906.2519,908.9234,69.387,45.667,(4.0, 1.3, 32.0),(1.8, 1.3, 26.6),(0.5, 0.9, 0.2)
18,18,908.9234,936.5126,947.5104,949.5453,33.112,6.617,(10.0, 1.3, 32.0),(6.7, 1.2, 28.4),(0.6, -0.5, 0.6)
19,19,949.5453,982.2499,992.5512,996.1794,58.100,55.383,(14.0, 1.3, 28.0),(15.4, 1.3, 31.8),(-0.9, 0.4, -0.2)

