Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0473808,73.31324,102.2488,104.3347,22.535,22.08
1,1,104.3357,143.4192,153.3614,154.9277,17.909,17.848
2,2,154.9287,182.8043,207.5943,208.6405,25.769,25.634
3,3,208.6405,217.3211,229.2104,230.7396,21.551,20.636
4,4,230.7396,256.419,278.2451,279.8987,32.682,32.533
5,5,279.8997,326.4592,337.5082,341.3331,31.874,19.19
6,6,341.3331,378.0252,381.304,382.5891,16.721,16.321
7,7,382.5891,413.4143,421.6962,422.9463,21.177,21.175
8,8,422.9463,451.6182,461.1389,462.8145,20.588,8.868
9,9,462.8145,489.4812,500.7208,503.3806,5.245,5.233
10,10,503.3817,528.2319,534.9225,536.2574,2.413,2.232
11,11,536.2574,571.0096,579.6772,581.0934,10.918,10.414
12,12,581.0944,605.7505,621.5169,623.637,17.527,16.383
13,13,623.6381,651.7213,662.2374,663.5169,21.348,21.115
14,14,663.5169,672.4235,678.1873,679.6992,11.747,8.662
15,15,679.6992,703.345,717.0471,720.6146,13.768,9.511
16,16,720.6146,725.5914,736.4833,738.4537,17.394,9.538
17,17,738.4537,773.051,777.8597,781.4771,127.592,127.654
18,18,781.4776,788.3555,797.4404,799.0632,6.59,1.838
19,19,799.0632,812.3013,821.1199,823.0155,16.772,16.683
