Name,Participant,Session,Condition,Time
,1,1,Baseline,368.548
,1,2,StaticSmall,609.125
,1,3,StaticLarge,850.198
,2,1,StaticSmall,518.432
,2,2,StaticLarge,329.746
,2,3,Baseline,349.36
,3,1,StaticLarge,1318.019
,3,2,Baseline,1166.528
,3,3,StaticSmall,1020.937
,4,1,Baseline,1125.55
,4,2,StaticLarge,850.453
,4,3,StaticSmall,842.012
,5,1,StaticSmall,801.761
,5,2,Baseline,775.988
,5,3,StaticLarge,757.95
,6,1,StaticLarge,490.893
,6,2,StaticSmall,488.177
,6,3,Baseline,487.74
,7,1,Baseline,726.991
,7,2,StaticSmall,1159.75
,7,3,StaticLarge,1046.183
,8,1,StaticSmall,375.095
,8,2,StaticLarge,488.307
,8,3,Baseline,486.14
,9,1,StaticLarge,350.127
,9,2,Baseline,472.264
,9,3,StaticSmall,540.969
,11,1,StaticSmall,1301.987
,11,2,Baseline,1024.946
,11,3,StaticLarge,929.064
