Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0279249,35.84,46.30321,50.02448,152.118
1,1,50.02448,95.81708,107.2226,109.3456,134.832
2,2,109.3456,144.6859,165.6115,167.5908,78.537
3,3,167.5908,185.4567,203.9809,207.5928,125.260
4,4,207.5938,250.8633,272.6419,275.0199,121.556
5,5,275.0199,333.3092,343.7495,346.0854,93.349
6,6,346.0865,413.8085,418.2985,419.8788,144.997
7,7,419.8788,463.8473,475.741,481.324,145.729
8,8,481.324,516.7178,532.9755,535.9065,131.198
9,9,535.9065,563.122,576.4562,579.7786,123.201
10,10,579.7795,614.397,622.7769,624.8702,137.942
11,11,624.8702,670.2418,682.436,685.0377,108.987
12,12,685.0377,721.0261,745.368,747.3284,117.633
13,13,747.3284,788.7004,788.9835,806.85,131.859
14,14,806.85,834.4442,846.7822,849.1998,128.844
15,15,849.1998,882.4699,908.242,910.564,146.790
16,16,910.564,920.0598,935.7634,938.1688,129.019
17,17,938.1688,996.704,1011.144,1016.977,131.521
18,18,1016.977,1027.084,1038.545,1040.547,142.125
19,19,1040.547,1062.953,1075.504,1077.965,144.826

