Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0219419,34.0952,42.27178,44.39412,127.336
1,1,44.39412,72.75867,80.95461,82.85708,127.893
2,2,82.85708,107.2577,122.6849,125.0617,86.979
3,3,125.0617,132.3471,143.7002,145.408,130.330
4,4,145.408,178.0298,202.4756,204.0968,112.617
5,5,204.0968,249.076,254.7977,256.5545,69.525
6,6,256.5545,292.7598,296.5717,297.8721,131.695
7,7,297.8721,328.4382,337.5196,340.984,135.129
8,8,340.984,359.3676,377.7374,379.8394,78.057
9,9,379.8394,398.4768,405.9698,408.4953,113.522
10,10,408.4953,427.8379,433.0462,434.8619,128.882
11,11,434.8619,465.1166,475.1561,477.0197,116.563
12,12,477.0197,502.5219,513.7866,515.8528,112.144
13,13,515.8528,538.7658,548.0004,550.5956,128.367
14,14,550.5956,560.0679,564.5723,566.1999,121.640
15,15,566.1999,589.3521,601.8522,604.2465,115.703
16,16,604.2465,610.2598,620.0956,621.7551,121.655
17,17,621.7551,644.3305,650.231,651.9387,113.018
18,18,651.9387,680.218,689.9505,691.4641,115.383
19,19,691.4651,703.2725,709.7256,712.2429,120.798

