Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0229387,17.54865,38.07308,40.81607,122.006
1,1,40.81707,64.404,77.82303,81.47865,123.612
2,2,81.47865,97.40379,103.4795,107.5655,110.583
3,3,107.5655,142.4276,149.3393,152.1942,129.614
4,4,152.1942,163.1543,174.7163,176.5512,104.040
5,5,176.5512,187.9781,197.9876,202.742,90.306
6,6,202.743,209.6339,217.8876,220.3878,115.418
7,7,220.3878,244.2669,257.0612,258.6588,119.591
8,8,258.6588,287.3745,301.7786,303.1579,99.235
9,9,303.1579,332.2013,342.7965,344.9704,123.892
10,10,344.9704,380.7899,386.3692,389.1082,124.492
11,11,389.1082,410.1927,420.9435,424.1778,121.692
12,12,424.1778,440.0029,466.924,470.4353,90.668
13,13,470.4353,503.234,508.8093,511.5707,94.530
14,14,511.5707,556.4745,571.9184,573.5513,105.538
15,15,573.5513,600.3954,623.4299,625.4417,114.081
16,16,625.4427,674.2885,685.6121,687.2681,107.263
17,17,687.2681,693.4981,710.397,713.8797,127.407
18,18,713.8797,733.899,741.9837,744.2351,123.147
19,19,744.2351,771.9841,785.8845,787.9284,123.291

