Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0289229,14.66057,35.49284,38.90609,136.480
1,1,38.90709,56.78469,68.66045,72.61047,112.289
2,2,72.61047,77.77915,83.92118,88.83129,129.931
3,3,88.83129,134.1549,141.9761,144.9857,138.398
4,4,144.9857,155.5597,164.0328,166.7787,137.732
5,5,166.7787,206.2757,216.3769,218.522,113.967
6,6,218.522,225.997,234.4055,236.8701,135.417
7,7,236.8701,265.8029,279.8002,281.9118,48.803
8,8,281.9118,310.6513,319.493,322.2169,117.874
9,9,322.2169,355.0656,362.1195,366.8437,137.707
10,10,366.8437,393.9771,399.4702,401.6516,135.095
11,11,401.6516,425.0051,437.4094,441.636,117.698
12,12,441.636,456.6027,478.7418,484.6812,104.456
13,13,484.6823,517.9394,530.7286,534.017,134.274
14,14,534.0179,615.7841,625.903,627.8746,125.283
15,15,627.8746,656.6907,682.5071,685.3353,139.290
16,16,685.3353,720.348,731.395,733.4996,125.388
17,17,733.4996,738.9308,780.2534,783.0073,135.306
18,18,783.0073,820.2739,827.5277,830.2228,125.289
19,19,830.2228,853.8072,866.4131,868.4125,119.385

