Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0289223,33.01083,41.43922,51.31271,131.707
1,1,51.31371,83.79851,92.85064,99.59026,131.510
2,2,99.59026,131.8253,153.9156,161.5022,84.421
3,3,161.5022,190.8352,207.5708,211.6813,109.977
4,4,211.6813,249.5986,263.4043,269.5938,106.744
5,5,269.5938,314.5406,324.1052,326.3774,102.633
6,6,326.3774,373.9036,378.1255,381.2922,138.914
7,7,381.2922,409.1608,416.9743,419.324,134.132
8,8,419.324,443.309,456.5529,461.075,107.268
9,9,461.075,478.34,494.9321,497.4705,106.476
10,10,497.4705,521.3787,528.58,531.4686,133.739
11,11,531.4686,568.4258,579.0487,581.4049,101.637
12,12,581.4049,618.4512,635.4485,637.5327,111.888
13,13,637.5327,677.7828,686.9284,689.2731,142.613
14,14,689.2731,701.4006,701.6011,711.0315,140.222
15,15,711.0315,737.3099,751.0906,753.3759,136.605
16,16,753.3759,759.8724,770.103,772.1287,130.896
17,17,772.1287,817.4617,826.5623,829.3175,131.837
18,18,829.3175,835.3447,847.0549,849.1299,127.412
19,19,849.131,862.5773,872.5897,875.1176,132.592

