Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0745975,29.09532,36.0853,38.36319,122.178
1,1,38.36418,65.37437,71.74831,73.90429,134.693
2,2,73.90429,93.341,111.5788,113.4777,90.933
3,3,113.4777,120.7306,136.8354,141.9882,117.054
4,4,141.9882,170.656,182.7388,184.839,133.085
5,5,184.839,220.7687,229.5429,231.6737,89.181
6,6,231.6747,276.0137,279.5181,281.4778,140.670
7,7,281.4778,305.1579,312.3221,314.3886,147.477
8,8,314.3886,330.9576,349.3795,355.8934,113.176
9,9,355.8934,376.0738,385.2033,387.4369,117.162
10,10,387.4369,404.9509,409.8156,411.6376,137.773
11,11,411.6376,440.0699,447.5453,449.4411,116.478
12,12,449.4411,474.9858,488.1359,492.3069,126.087
13,13,492.3069,513.2314,523.1299,525.1283,137.804
14,14,525.1283,532.4415,537.1605,539.0322,139.142
15,15,539.0322,559.1083,569.1648,571.1528,143.448
16,16,571.1528,576.191,585.5218,587.6211,134.683
17,17,587.6211,618.0226,622.861,630.2852,130.556
18,18,630.2852,634.7725,643.5242,645.0969,129.048
19,19,645.0969,656.1495,665.827,667.804,139.572

