Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0259055,16.55001,36.37333,39.69853,65.031,6.495,(16.0, 1.2, 18.0),(19.5, 1.2, 16.2),(-0.4, 0.9, 0.2)
1,1,39.69853,79.34689,97.1745,99.65057,63.193,27.089,(18.0, 1.2, 10.0),(16.5, 1.2, 15.5),(0.3, 0.9, -0.4)
2,2,99.65157,112.3868,125.6928,128.2829,79.303,63.063,(12.0, 1.2, 16.0),(13.7, 1.2, 12.2),(0.3, 0.9, 0.3)
3,3,128.2829,170.4432,179.5288,182.3709,59.590,9.038,(10.0, 1.2, 10.0),(6.4, 1.2, 8.3),(0.4, 0.9, 0.3)
4,4,182.3719,192.5126,207.5421,210.1703,71.093,34.670,(8.0, 1.2, 6.0),(4.6, 1.2, 2.3),(0.4, 0.9, 0.1)
5,5,210.1712,242.9734,252.0766,254.9462,65.249,0.849,(8.0, 1.2, 0.0),(11.9, 1.2, 1.6),(-0.4, 0.9, -0.2)
6,6,254.9471,261.34,271.0794,273.3676,58.388,23.214,(16.0, 1.2, 2.0),(17.9, 1.2, 7.5),(-0.4, 0.8, -0.4)
7,7,273.3686,297.8818,316.5203,319.6096,60.242,16.532,(18.0, 1.2, 4.0),(19.7, 1.2, 1.9),(-0.2, 0.8, 0.5)
8,8,319.6106,353.9616,364.0904,366.8678,64.157,6.337,(28.0, 1.2, 2.0),(26.4, 1.2, 5.9),(0.1, 0.9, -0.4)
9,9,366.8687,395.3857,408.6655,412.0679,68.561,27.382,(34.0, 1.2, 4.0),(37.5, 1.2, 5.7),(-0.2, 0.9, -0.3)
10,10,412.0679,435.3927,445.301,448.3703,67.718,22.460,(32.0, 1.2, 16.0),(28.4, 1.2, 14.2),(0.3, 0.9, 0.3)
11,11,448.3703,474.5652,486.2317,488.8765,57.220,1.501,(22.0, 1.2, 20.0),(25.3, 1.2, 22.0),(-0.5, 0.8, -0.3)
12,12,488.8765,505.6453,523.934,527.5691,73.481,36.969,(30.0, 1.2, 20.0),(34.0, 1.2, 18.4),(-0.4, 0.9, -0.1)
13,13,527.5691,558.7456,569.6992,571.9175,66.542,11.250,(32.0, 1.2, 24.0),(33.6, 1.2, 25.9),(-0.2, 0.9, -0.4)
14,14,571.9175,614.4479,630.8146,632.6741,55.510,4.720,(30.0, 1.2, 36.0),(30.2, 1.2, 37.9),(-0.1, 0.8, -0.6)
15,15,632.675,672.9699,712.4647,715.0042,66.059,38.218,(20.0, 1.2, 30.0),(16.2, 1.2, 33.7),(0.1, 0.9, -0.5)
16,16,715.0042,758.9014,768.84,772.4037,59.710,13.807,(4.0, 1.2, 36.0),(0.5, 1.2, 34.5),(0.4, 0.8, 0.3)
17,17,772.4037,781.1007,799.9183,802.5625,57.851,4.262,(4.0, 1.2, 32.0),(2.0, 1.2, 26.3),(0.2, 0.8, 0.5)
18,18,802.5635,834.5494,842.7459,847.2339,59.931,25.409,(10.0, 1.2, 32.0),(6.6, 1.2, 28.1),(0.5, 0.8, 0.2)
19,19,847.2339,871.3015,887.6234,893.9708,62.460,15.425,(14.0, 1.2, 28.0),(15.5, 1.2, 31.7),(-0.1, 0.9, -0.5)

