Index,TaskIndex,StartTimeStamp,EndTimeStamp
0,0,0.3769923,8.107328
1,1,8.310784,16.72368
2,2,16.92614,38.04002
3,3,38.24038,55.96615
4,4,56.16562,74.00138
5,5,74.20156,113.354
6,6,113.5546,122.0263
7,7,122.2377,132.6123
8,8,132.8218,140.831
9,9,141.0424,172.8532
10,10,173.054,195.1336
11,11,195.344,219.71
12,12,219.9139,235.5694
13,13,235.7728,243.6693
14,14,243.8795,265.1701
15,15,265.3716,270.6926
16,16,270.9014,288.8411
17,17,289.0486,308.3735
18,18,308.576,322.7422
19,19,322.9456,347.351
20,20,347.5505,356.2653
21,21,356.477,363.0515
22,22,363.2629,381.0929
23,23,381.3044,387.6427
24,24,387.8462,399.5155
25,25,399.7269,405.5452
26,26,405.7473,431.425
27,27,431.6295,452.3209
28,28,452.5274,461.5168
29,29,461.7243,469.8093
30,30,470.0118,478.2548
31,31,478.4622,499.5564
32,32,0,0

