Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0284329,59.05392,75.02444,92.77483,72.244,26.879,(16.0, 1.2, 32.0),(13.3, 1.2, 29.7),(0.3, 0.9, 0.1)
1,1,92.77483,174.3706,192.8444,202.2303,75.360,19.477,(6.0, 1.2, 28.0),(10.1, 1.3, 31.1),(-0.1, 1.0, -0.2)
2,2,202.2303,255.5982,305.9439,310.9543,68.883,11.850,(2.0, 1.2, 26.0),(3.7, 1.2, 32.7),(0.0, 0.9, -0.4)
3,3,310.9543,323.7814,338.5196,344.8847,58.949,0.143,(0.0, 1.2, 34.0),(2.6, 1.2, 36.6),(-0.4, 0.9, -0.4)
4,4,344.8857,400.0179,422.987,429.6512,59.809,17.204,(16.0, 1.2, 34.0),(20.5, 1.2, 31.1),(-0.3, 0.9, 0.4)
5,5,429.6522,495.8806,517.0674,521.3557,128.205,144.785,(30.0, 1.2, 38.0),(29.7, 1.2, 35.4),(0.4, 0.6, -0.7)
6,6,521.3557,652.8132,668.1412,673.3771,58.708,21.783,(34.0, 1.2, 26.0),(32.1, 1.2, 24.4),(0.3, 0.8, 0.5)
7,7,673.3771,698.1113,712.5734,721.6232,68.492,14.145,(34.0, 1.2, 18.0),(29.6, 1.2, 20.1),(0.4, 0.9, -0.1)
8,8,721.6232,759.5831,789.7714,793.718,70.937,34.996,(26.0, 1.2, 22.0),(21.0, 1.2, 20.4),(0.2, 0.9, 0.3)
9,9,793.718,816.2382,830.9878,836.3224,66.237,45.019,(28.0, 1.2, 14.0),(31.9, 1.2, 14.5),(-0.3, 0.8, -0.4)
10,10,836.3224,871.9192,880.0056,884.7554,84.780,62.547,(38.0, 1.2, 6.0),(34.4, 1.2, 4.1),(0.0, -1.0, 0.2)
11,11,884.7563,940.0145,959.8137,965.7451,77.386,61.735,(26.0, 1.2, 6.0),(28.2, 1.2, 2.7),(0.2, 0.9, 0.4)
12,12,965.7461,999.3018,1026.317,1030.847,61.010,36.638,(20.0, 1.2, 2.0),(18.1, 1.2, 3.3),(0.2, 0.8, -0.5)
13,13,1030.847,1071.229,1084.402,1098.154,57.861,29.722,(18.0, 1.2, 8.0),(15.2, 1.2, 2.9),(0.0, 0.8, 0.6)
14,14,1098.154,1121.866,1131.495,1138.122,85.077,70.905,(12.0, 1.2, 2.0),(8.3, 1.2, 0.1),(0.2, 1.0, -0.2)
15,15,1138.123,1195.475,1215.651,1221.789,64.774,34.378,(4.0, 1.2, 2.0),(7.6, 1.2, 5.7),(-0.1, 0.9, -0.5)
16,16,1221.789,1230.367,1246.034,1249.581,64.675,41.792,(6.0, 1.2, 8.0),(7.8, 1.2, 10.3),(-0.5, 0.8, -0.1)
17,17,1249.582,1333.969,1351.407,1362.627,78.013,39.261,(14.0, 1.2, 12.0),(11.0, 1.2, 13.2),(0.1, 1.0, -0.2)
18,18,1362.627,1376.659,1393.509,1399.196,57.504,33.046,(16.0, 1.2, 16.0),(15.9, 1.1, 9.7),(-0.3, 0.8, 0.5)
19,19,1399.197,1427.951,1446.203,1449.035,76.353,23.642,(20.0, 1.2, 16.0),(16.8, 1.2, 17.6),(0.3, -1.0, 0.0)

