Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0388962,56.76475,67.74861,71.46158,64.170,8.489,(16.0, 1.2, 32.0),(13.9, 1.2, 28.5),(0.2, 0.9, 0.4)
1,1,71.46258,110.9633,126.468,128.6098,67.891,20.352,(6.0, 1.2, 28.0),(9.6, 1.2, 31.7),(-0.4, 0.9, -0.2)
2,2,128.6098,159.8895,195.0422,197.1525,61.467,8.318,(2.0, 1.2, 26.0),(4.2, 1.2, 31.7),(-0.2, 0.9, -0.4)
3,3,197.1525,208.7005,224.5156,226.9915,64.959,13.644,(0.0, 1.2, 34.0),(3.5, 1.2, 36.1),(-0.3, 0.9, -0.3)
4,4,226.9915,255.5734,275.2192,277.7076,62.888,15.330,(16.0, 1.2, 34.0),(20.2, 1.2, 30.7),(-0.4, 0.9, 0.2)
5,5,277.7076,330.7315,348.1897,351.7345,108.175,127.167,(30.0, 1.2, 38.0),(30.6, 1.2, 36.0),(0.5, 0.9, -0.2)
6,6,351.7345,411.5125,416.111,418.5854,67.067,0.143,(34.0, 1.2, 26.0),(32.3, 1.2, 24.3),(0.3, 0.9, 0.3)
7,7,418.5854,456.7805,467.4675,469.9569,71.799,29.608,(34.0, 1.2, 18.0),(30.7, 1.2, 19.5),(0.2, 0.9, -0.3)
8,8,469.9578,508.6085,526.0854,529.1661,55.021,14.414,(26.0, 1.2, 22.0),(22.0, 1.2, 20.3),(0.6, 0.8, 0.1)
9,9,529.1672,544.6794,555.7223,558.8726,64.087,9.275,(28.0, 1.2, 14.0),(31.8, 1.2, 15.4),(-0.4, 0.9, -0.2)
10,10,558.8737,579.5743,593.5584,596.5801,69.268,24.620,(38.0, 1.2, 6.0),(34.7, 1.2, 4.2),(0.2, 0.9, 0.3)
11,11,596.5812,631.0328,646.0416,648.0196,62.802,12.578,(26.0, 1.2, 6.0),(28.2, 1.2, 2.6),(-0.3, 0.9, 0.3)
12,12,648.0206,679.2621,702.5632,705.5635,69.684,1.613,(20.0, 1.2, 2.0),(18.0, 1.2, 3.4),(0.3, 0.9, -0.2)
13,13,705.5635,737.2165,747.1694,749.2425,66.738,24.604,(18.0, 1.2, 8.0),(16.1, 1.2, 2.6),(0.3, 0.9, 0.3)
14,14,749.2435,767.494,775.9897,778.7135,66.553,16.371,(12.0, 1.2, 2.0),(8.7, 1.2, 0.2),(0.4, 0.9, 0.1)
15,15,778.7135,803.587,826.5667,830.7036,68.413,24.591,(4.0, 1.2, 2.0),(7.7, 1.2, 5.6),(-0.1, 0.9, -0.4)
16,16,830.7036,840.6755,859.1763,862.775,73.744,46.257,(6.0, 1.2, 8.0),(9.4, 1.2, 10.0),(-0.1, 0.9, -0.4)
17,17,862.7759,927.0866,936.7716,939.4149,60.294,21.405,(14.0, 1.2, 12.0),(12.2, 1.2, 15.3),(0.4, 0.8, -0.3)
18,18,939.416,948.5555,966.7657,971.5903,64.283,20.266,(16.0, 1.2, 16.0),(17.4, 1.2, 10.3),(-0.3, 0.9, 0.4)
19,19,971.5903,997.2253,1012.575,1015.47,67.313,31.407,(20.0, 1.2, 16.0),(16.5, 1.2, 17.7),(0.2, 0.9, -0.4)

