Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0259305,49.05749,61.81818,63.71797,40.455,39.202,(16.0, 1.3, 32.0),(13.9, 1.2, 28.4),(0.9, 0.2, 0.3)
1,1,63.71797,91.53912,99.42836,100.9453,22.726,12.935,(6.0, 1.3, 28.0),(9.7, 1.2, 31.6),(-0.5, 0.3, -0.8)
2,2,100.9453,123.0147,142.1736,143.1946,27.562,20.153,(2.0, 1.3, 26.0),(4.3, 1.2, 31.7),(-0.6, 0.3, -0.7)
3,3,143.1956,154.2236,164.9096,167.1204,23.208,18.557,(0.0, 1.3, 34.0),(3.7, 1.2, 36.2),(-0.6, 0.3, -0.7)
4,4,167.1204,190.1212,208.8578,210.2178,19.346,0.471,(16.0, 1.3, 34.0),(19.9, 1.2, 30.3),(-0.7, 0.3, 0.6)
5,5,210.2178,254.3057,267.2675,269.4488,49.760,35.018,(30.0, 1.3, 38.0),(30.5, 1.3, 36.0),(-0.6, 0.6, 0.5)
6,6,269.4488,314.4838,319.5683,320.8481,20.536,20.116,(34.0, 1.3, 26.0),(32.1, 1.2, 24.6),(1.0, 0.1, 0.3)
7,7,320.8481,360.1094,370.3038,371.9255,9.084,3.019,(34.0, 1.3, 18.0),(30.1, 1.2, 20.1),(0.8, 0.2, -0.5)
8,8,371.9255,394.0291,407.8899,409.9121,23.360,19.888,(26.0, 1.3, 22.0),(22.6, 1.2, 19.9),(1.0, 0.2, 0.2)
9,9,409.9121,434.0682,444.2098,445.7799,13.993,5.560,(28.0, 1.3, 14.0),(31.6, 1.2, 15.2),(-0.9, 0.2, -0.4)
10,10,445.7799,468.5244,474.7773,476.0901,19.262,5.537,(38.0, 1.3, 6.0),(35.1, 1.2, 3.8),(0.8, 0.3, 0.5)
11,11,476.0901,520.6442,534.3828,536.2537,32.680,30.749,(26.0, 1.3, 6.0),(28.1, 1.2, 2.2),(0.0, 0.2, 1.0)
12,12,536.2546,563.3317,575.7227,576.7029,7.622,1.531,(20.0, 1.3, 2.0),(18.1, 1.2, 3.4),(0.8, 0.1, -0.6)
13,13,576.7029,608.3315,619.6417,621.0213,12.677,7.041,(18.0, 1.3, 8.0),(15.9, 1.2, 2.6),(0.5, 0.2, 0.9)
14,14,621.0223,628.3137,636.1444,637.5215,21.030,20.657,(12.0, 1.3, 2.0),(8.5, 1.3, -0.2),(1.0, 0.1, 0.2)
15,15,637.5215,664.6782,679.0275,680.1932,31.083,25.451,(4.0, 1.3, 2.0),(7.5, 1.2, 5.6),(-0.9, 0.3, -0.3)
16,16,680.1932,687.0693,699.2885,700.7332,33.356,31.645,(6.0, 1.3, 8.0),(9.6, 1.2, 9.7),(-1.0, 0.2, 0.1)
17,17,700.7332,736.692,745.7701,746.7928,46.614,43.732,(14.0, 1.3, 12.0),(12.1, 1.2, 15.4),(-0.2, 0.3, -0.9)
18,18,746.7938,751.8563,760.775,762.1539,32.825,28.886,(16.0, 1.3, 16.0),(17.4, 1.2, 10.5),(-0.7, 0.3, 0.7)
19,19,762.1539,776.621,787.3536,788.5497,34.759,32.229,(20.0, 1.3, 16.0),(16.8, 1.2, 17.9),(0.4, 0.3, -0.9)

