Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0249335,25.0179,49.65395,50.9782,41.833,4.125,(16.0, 1.2, 18.0),(19.5, 1.2, 16.2),(-0.7, 0.7, 0.3)
1,1,50.97919,88.46106,120.9012,125.6138,82.537,15.535,(18.0, 1.2, 10.0),(16.0, 1.2, 16.4),(0.1, 1.0, -0.1)
2,2,125.6138,146.2715,155.436,156.8945,43.255,24.247,(12.0, 1.2, 16.0),(13.5, 1.2, 11.9),(-0.6, 0.6, 0.6)
3,3,156.8945,248.3413,257.1844,258.1526,42.404,20.034,(10.0, 1.2, 10.0),(6.4, 1.2, 8.2),(0.8, 0.6, 0.1)
4,4,258.1537,274.1442,284.7911,285.9964,39.689,4.510,(8.0, 1.2, 6.0),(4.3, 1.2, 2.4),(0.5, 0.6, 0.6)
5,5,285.9974,320.178,337.6604,340.1153,20.143,5.094,(8.0, 1.2, 0.0),(11.4, 1.2, 1.1),(-0.9, 0.4, -0.2)
6,6,340.1162,350.933,363.5988,369.0196,106.989,159.457,(16.0, 1.2, 2.0),(17.8, 1.2, 7.6),(0.2, 0.9, 0.2)
7,7,369.0206,410.4197,440.5559,441.8683,81.940,81.239,(18.0, 1.2, 4.0),(19.9, 1.2, 1.5),(-0.7, 0.6, -0.4)
8,8,441.8683,490.6904,502.4843,503.6078,18.053,6.836,(28.0, 1.2, 2.0),(26.7, 1.2, 5.9),(0.4, -0.3, -0.9)
9,9,503.6088,556.2334,563.3256,564.5641,52.947,45.444,(34.0, 1.2, 4.0),(37.6, 1.2, 6.2),(-0.8, 0.5, 0.2)
10,10,564.5641,613.5868,624.5505,625.5262,13.676,12.139,(32.0, 1.2, 16.0),(28.6, 1.2, 13.7),(0.7, 0.1, 0.7)
11,11,625.5262,645.5187,657.3371,658.7849,8.007,6.221,(22.0, 1.2, 20.0),(25.2, 1.1, 22.1),(-0.9, -0.1, -0.5)
12,12,658.7849,677.375,697.2518,698.2882,10.221,5.086,(30.0, 1.2, 20.0),(33.6, 1.2, 18.8),(-0.9, 0.2, 0.4)
13,13,698.2892,811.7411,825.0933,826.051,58.542,41.784,(32.0, 1.2, 24.0),(33.2, 1.1, 25.7),(0.1, 0.8, -0.6)
14,14,826.051,881.627,903.3405,904.1395,15.928,13.378,(30.0, 1.2, 36.0),(30.4, 1.1, 37.8),(-0.4, 0.2, -0.9)
15,15,904.1395,955.2396,1015.096,1015.927,54.892,48.144,(20.0, 1.2, 30.0),(16.7, 1.1, 34.0),(-0.1, 0.5, -0.8)

