Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0349067,39.51699,55.37578,61.91972,22.915,11.054,(16.0, 1.2, 32.0),(13.9, 1.2, 28.6),(0.3, 0.3, 0.9)
1,1,61.92072,98.27113,109.7418,116.4413,33.345,31.031,(6.0, 1.2, 28.0),(9.9, 1.2, 31.5),(-0.3, -0.2, -0.9)
2,2,116.4413,152.601,172.907,176.2165,28.701,16.513,(2.0, 1.2, 26.0),(4.3, 1.3, 31.4),(-0.1, 0.4, -0.9)
3,3,176.2165,184.0354,197.084,200.5309,35.109,29.300,(0.0, 1.2, 34.0),(3.4, 1.2, 36.0),(-0.9, -0.4, 0.0)
4,4,200.5309,223.199,260.519,263.8396,32.001,21.790,(16.0, 1.2, 34.0),(19.8, 1.2, 30.7),(-0.4, -0.4, 0.8)
5,5,263.8406,323.2111,338.8311,341.6159,61.256,58.486,(30.0, 1.2, 38.0),(30.7, 1.2, 36.3),(0.6, 0.4, 0.7)
6,6,341.6159,386.8347,390.3219,392.8985,21.326,7.735,(34.0, 1.2, 26.0),(32.3, 1.2, 24.5),(0.6, 0.3, 0.7)
7,7,392.8985,419.2283,437.3651,440.1477,21.241,12.638,(34.0, 1.2, 18.0),(30.8, 1.2, 19.7),(0.9, 0.3, -0.2)
8,8,440.1477,461.8569,473.7183,476.5663,27.785,8.227,(26.0, 1.2, 22.0),(22.5, 1.2, 20.7),(0.8, 0.4, 0.4)
9,9,476.5663,494.9688,505.7215,508.7086,25.242,13.139,(28.0, 1.2, 14.0),(32.0, 1.2, 15.2),(-0.9, 0.4, -0.1)
10,10,508.7125,535.5966,542.0952,544.2727,26.377,0.948,(38.0, 1.2, 6.0),(34.8, 1.2, 4.2),(0.8, 0.5, 0.4)

